Sex,search,intel_led,search_result,officer_race,officer_race3,officer_age,officergender,officer_gender,Age,RateViolentCrime_tract,RatePropertyCrime_tract,RateNarcoticsCrime_tract,escalation,correct_new_contains_intro_greeting,correct_new_intro,correct_new_greeting,correct_new_reason,correct_new_ID,correct_new_details,correct_new_sanction,correct_order_total,correct_new_history,correct_new_search,correct_new_help,correct_new_legitimacy,correct_new_closing,binary_correct_new_contains_intro_greeting,binary_correct_new_intro,binary_correct_new_greeting,binary_correct_new_reason,binary_correct_new_ID,binary_correct_new_details,binary_correct_new_sanction,binary_correct_order_total,binary_correct_new_history,binary_correct_new_search,binary_correct_new_help,binary_correct_new_legitimacy,binary_correct_new_closing
Male,0,0,3,A,Other,25,1,M,65,193.8726663,1110.579225,11.96744854,0,1,0,1,1,3,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
Male,0,0,3,A,Other,27,1,M,20,332.361516,524.7813411,43.73177843,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,39,352.515818,1054.534498,51.22024706,0,2,1,1,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,25,1,M,24,307.0586033,505.5233102,84.25388504,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,37,1,M,29,837.3205742,3732.057416,103.6682616,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,30,1,M,25,230.6327617,490.8338261,41.39562389,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Male,0,0,3,A,Other,37,1,M,34,684.1216216,1672.297297,42.22972973,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,37,1,M,24,495.1140065,2123.778502,234.5276873,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,25,1,M,37,452.5288376,1237.799468,68.76663709,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,28,1,M,22,410.5839416,547.4452555,147.810219,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
Male,0,0,3,A,Other,33,1,M,29,332.361516,524.7813411,43.73177843,0,2,1,1,1,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0
Male,0,0,3,A,Other,54,1,M,63,156.8627451,439.7759104,5.602240896,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,42,1,M,29,248.455731,466.7124228,54.90734386,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Male,0,0,3,A,Other,25,1,M,32,369.2104829,509.3126751,13.18608868,0,2,1,1,1,2,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,28,1,M,19,330.9584004,563.0889451,108.0211446,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
Female,0,0,3,A,Other,24,1,M,45,465.8549497,1154.049762,487.0301747,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,36,1,M,34,226.259856,462.8042509,54.85087419,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
Male,0,0,3,A,Other,36,1,M,44,332.361516,524.7813411,43.73177843,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Female,0,0,3,A,Other,23,1,M,48,666.6666667,4952.380952,95.23809524,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
